Entity,Code,Year,number_policies_EU
Afghanistan,AFG,2022,6
Albania,ALB,2022,46
Algeria,DZA,2022,11
American Samoa,ASM,2022,9
Andorra,AND,2022,3
Angola,AGO,2022,7
Antigua and Barbuda,ATG,2022,6.5
Argentina,ARG,2022,23.5
Armenia,ARM,2022,14
Aruba,ABW,2022,1
Australia,AUS,2022,25
Austria,AUT,2022,107
Azerbaijan,AZE,2022,35
Bahamas,BHS,2022,11
Bahrain,BHR,2022,8
Bangladesh,BGD,2022,22
Barbados,BRB,2022,9
Belarus,BLR,2022,51
Belgium,BEL,2022,92
Belize,BLZ,2022,12.5
Benin,BEN,2022,5.5
Bermuda,BMU,2022,2
Bhutan,BTN,2022,11
Bolivia,BOL,2022,18
Bosnia and Herzegovina,BIH,2022,29
Botswana,BWA,2022,9
Brazil,BRA,2022,49
British Virgin Islands,VGB,2022,1
Brunei,BRN,2022,1
Bulgaria,BGR,2022,104
Burkina Faso,BFA,2022,25
Burundi,BDI,2022,5.5
Cambodia,KHM,2022,12
Cameroon,CMR,2022,10
Canada,CAN,2022,22
Cape Verde,CPV,2022,27
Cayman Islands,CYM,2022,8
Central African Republic,CAF,2022,6
Chad,TCD,2022,5
Chile,CHL,2022,32
China,CHN,2022,44.5
Colombia,COL,2022,58
Comoros,COM,2022,3
Congo,COG,2022,7.5
Cook Islands,COK,2022,9
Costa Rica,CRI,2022,43
Cote d'Ivoire,CIV,2022,7
Croatia,HRV,2022,122
Cuba,CUB,2022,9
Cyprus,CYP,2022,93
Czechia,CZE,2022,110
Democratic Republic of Congo,COD,2022,10
Denmark,DNK,2022,157
Djibouti,DJI,2022,8
Dominica,DMA,2022,9
Dominican Republic,DOM,2022,26
East Timor,TLS,2022,6
Ecuador,ECU,2022,55
Egypt,EGY,2022,17
El Salvador,SLV,2022,26
Equatorial Guinea,GNQ,2022,5
Eritrea,ERI,2022,4
Estonia,EST,2022,102
Eswatini,SWZ,2022,5
Ethiopia,ETH,2022,14.5
Federated States of Micronesia,,2022,2
Fiji,FJI,2022,13
Finland,FIN,2022,115
France,FRA,2022,128
French Guiana,GUF,2022,2
French Polynesia,PYF,2022,1
Gabon,GAB,2022,6
Gambia,GMB,2022,7
Georgia,GEO,2022,29
Germany,DEU,2022,93.5
Ghana,GHA,2022,8.5
Gibraltar,GIB,2022,3
Greece,GRC,2022,159
Greenland,GRL,2022,3
Grenada,GRD,2022,19
Guam,GUM,2022,17
Guatemala,GTM,2022,42
Guernsey,GGY,2022,1
Guinea,GIN,2022,7
Guinea-Bissau,GNB,2022,3
Guyana,GUY,2022,10
Haiti,HTI,2022,3
Honduras,HND,2022,29
Hungary,HUN,2022,99
Iceland,ISL,2022,3
India,IND,2022,19
Indonesia,IDN,2022,51
Iran,IRN,2022,26
Iraq,IRQ,2022,12
Ireland,IRL,2022,131
Israel,ISR,2022,19
Italy,ITA,2022,117
Jamaica,JAM,2022,16
Japan,JPN,2022,31
Jersey,JEY,2022,4
Jordan,JOR,2022,20
Kazakhstan,KAZ,2022,35
Kenya,KEN,2022,44
Kiribati,KIR,2022,5
Kuwait,KWT,2022,5
Kyrgyzstan,KGZ,2022,50
Laos,LAO,2022,17
Latvia,LVA,2022,96
Lebanon,LBN,2022,32
Lesotho,LSO,2022,14
Liberia,LBR,2022,20
Libya,LBY,2022,8
Liechtenstein,LIE,2022,20
Lithuania,LTU,2022,87
Luxembourg,LUX,2022,97
Macao,MAC,2022,2
Madagascar,MDG,2022,18
Malawi,MWI,2022,20
Malaysia,MYS,2022,28
Maldives,MDV,2022,2
Mali,MLI,2022,14
Malta,MLT,2022,93
Marshall Islands,MHL,2022,2.5
Mauritania,MRT,2022,5
Mauritius,MUS,2022,13
Mayotte,MYT,2022,1
Mexico,MEX,2022,59
Moldova,MDA,2022,32
Monaco,MCO,2022,3
Mongolia,MNG,2022,14
Montenegro,MNE,2022,37
Montserrat,MSR,2022,12
Morocco,MAR,2022,20
Mozambique,MOZ,2022,15
Myanmar,MMR,2022,12
Namibia,NAM,2022,18
Nauru,NRU,2022,1
Nepal,NPL,2022,12
Netherlands,NLD,2022,118
New Zealand,NZL,2022,16.5
Nicaragua,NIC,2022,42
Niger,NER,2022,11
Nigeria,NGA,2022,14
Niue,NIU,2022,3
Norfolk Island,NFK,2022,4
North Korea,PRK,2022,2.5
North Macedonia,MKD,2022,9
Northern Mariana Islands,MNP,2022,2
Norway,NOR,2022,22
Oman,OMN,2022,9
Pakistan,PAK,2022,20
Palau,PLW,2022,8
Palestine,PSE,2022,5
Panama,PAN,2022,39
Papua New Guinea,PNG,2022,19
Paraguay,PRY,2022,26
Peru,PER,2022,41.5
Philippines,PHL,2022,55
Poland,POL,2022,109
Portugal,PRT,2022,183
Puerto Rico,PRI,2022,5
Qatar,QAT,2022,7
Romania,ROU,2022,92
Russia,RUS,2022,68
Rwanda,RWA,2022,29
Saint Helena,SHN,2022,4
Saint Kitts and Nevis,KNA,2022,7
Saint Lucia,LCA,2022,7
Saint Vincent and the Grenadines,VCT,2022,5
Samoa,WSM,2022,9
San Marino,SMR,2022,1
Sao Tome and Principe,STP,2022,4
Saudi Arabia,SAU,2022,6
Senegal,SEN,2022,15
Serbia,SRB,2022,51
Seychelles,SYC,2022,19
Sierra Leone,SLE,2022,9
Singapore,SGP,2022,17
Slovakia,SVK,2022,96
Slovenia,SVN,2022,82
Solomon Islands,SLB,2022,7
Somalia,SOM,2022,1
South Africa,ZAF,2022,38
South Korea,KOR,2022,33.5
South Sudan,SSD,2022,3
Spain,ESP,2022,97
Sri Lanka,LKA,2022,13
Sudan,SDN,2022,6
Suriname,SUR,2022,5
Sweden,SWE,2022,88
Switzerland,CHE,2022,23
Syria,SYR,2022,18
Taiwan,TWN,2022,8
Tajikistan,TJK,2022,10
Tanzania,TZA,2022,14
Thailand,THA,2022,11
Togo,TGO,2022,10
Tonga,TON,2022,8
Trinidad and Tobago,TTO,2022,15
Tunisia,TUN,2022,6
Turkey,TUR,2022,77
Turkmenistan,TKM,2022,10
Turks and Caicos Islands,TCA,2022,2
Tuvalu,TUV,2022,5
Uganda,UGA,2022,7.5
Ukraine,UKR,2022,16
United Arab Emirates,ARE,2022,6
United Kingdom,GBR,2022,73
United States,USA,2022,49
Uruguay,URY,2022,25
Uzbekistan,UZB,2022,24
Vanuatu,VUT,2022,6
Venezuela,VEN,2022,14
Vietnam,VNM,2022,44
Yemen,YEM,2022,6
Zambia,ZMB,2022,19
Zimbabwe,ZWE,2022,10