Entity,Code,Year,Believe climate change is a serious threat to humanity
Algeria,DZA,2023,85.1
Armenia,ARM,2023,89.2
Australia,AUS,2023,81.3
Austria,AUT,2023,82.3
Belgium,BEL,2023,79.4
Brazil,BRA,2023,92.6
Bulgaria,BGR,2023,84.6
Canada,CAN,2023,89.1
Chile,CHL,2023,92.5
China,CHN,2023,84.7
Czechia,CZE,2023,89.3
Denmark,DNK,2023,79.8
Ecuador,ECU,2023,90.5
Finland,FIN,2023,79.4
France,FRA,2023,85.5
Gambia,GMB,2023,92.5
Germany,DEU,2023,83.3
Ghana,GHA,2023,93
Greece,GRC,2023,81.3
India,IND,2023,89
Ireland,IRL,2023,87.2
Israel,ISR,2023,73.4
Italy,ITA,2023,91.2
Japan,JPN,2023,79.1
Kenya,KEN,2023,91.2
Latvia,LVA,2023,76.9
Mexico,MEX,2023,91.4
Morocco,MAR,2023,84.9
Netherlands,NLD,2023,80.1
New Zealand,NZL,2023,79.2
Nigeria,NGA,2023,90.1
North Macedonia,MKD,2023,90.8
Norway,NOR,2023,76.2
Peru,PER,2023,90.6
Philippines,PHL,2023,96.7
Poland,POL,2023,83.6
Portugal,PRT,2023,94.1
Romania,ROU,2023,88
Russia,RUS,2023,81.2
Saudi Arabia,SAU,2023,74
Serbia,SRB,2023,92.4
Singapore,SGP,2023,83.9
Slovakia,SVK,2023,79.4
Slovenia,SVN,2023,80.1
South Africa,ZAF,2023,89.1
South Korea,KOR,2023,85.7
Spain,ESP,2023,88.2
Sri Lanka,LKA,2023,88.7
Sudan,SDN,2023,79.2
Sweden,SWE,2023,79.3
Switzerland,CHE,2023,84.5
Taiwan,TWN,2023,79.3
Tanzania,TZA,2023,92.9
Thailand,THA,2023,84
Turkey,TUR,2023,92.5
Uganda,UGA,2023,93.4
Ukraine,UKR,2023,88.4
United Arab Emirates,ARE,2023,81.9
United Kingdom,GBR,2023,82.7
United States,USA,2023,76.9
Uruguay,URY,2023,91.7
Venezuela,VEN,2023,92
Vietnam,VNM,2023,91.6
World,OWID_WRL,2023,86